scope	kind	file	line	source
production	selective-small-number	scripts/find_meridians.py	19	rotate = lambda x: (x >> 1) | ((x & 1) << 16)
production	selective-small-number	scripts/find_meridians.py	25	    for _ in range(16):
production	dimension-or-derived	scripts/find_meridians.py	31	    if r == 131071:
production	dimension-or-derived	scripts/find_meridians.py	38	r, path = 131071, []
production	selective-small-number	scripts/find_meridians.py	43	assert len(path) == 18
production	dimension-or-derived	scripts/find_meridians.py	45	for _ in range(17):
production	dimension-or-derived	scripts/find_meridians.py	66	print('Found 17 rotated meridians, each with 17 edges.')
production	selective-small-number	scripts/find_sectors.py	11	p=json.loads((ROOT / 'output/meridian-certificate.json').read_text())['path'];rot=lambda x:(x>>1)|((x&1)<<16)
production	dimension-or-derived	scripts/find_sectors.py	13	for k in range(17):
production	dimension-or-derived	scripts/find_sectors.py	34	 sector = next(i for i in range(17) if boundary_arcs == {i,(i+1)%17})
production	dimension-or-derived	scripts/find_sectors.py	41	for k in range(17):
production	dimension-or-derived	scripts/find_sectors.py	42	    cycle = paths[k] + list(reversed(paths[(k+1)%17][1:-1]))
production	selective-small-number	scripts/find_sectors.py	64	print('Proposed 17 sectors, 7710 quadrilaterals and 34 boundary edges each.')
production	dimension-or-derived	scripts/audit_topology.lean	175	#print axioms Venn17.Topology.exists_simple_rotational_venn_17
test-review	dimension-or-derived	scripts/test_checkers.py	29	                    self.assertEqual(check(path)['regions'], 131072)
test-review	dimension-or-derived	scripts/test_checkers.py	54	        data = {'n': 17, 'faces': [copy.deepcopy(self.original['faces'][0])]}
test-review	dimension-or-derived	scripts/test_checkers.py	59	        self.run_case({'n': 17, 'faces': [['0'*17, '1'*17, '01'+'0'*15, '10'+'0'*15]]}, False)
test-review	selective-small-number	scripts/test_checkers.py	62	        for s in ['x'*17, '0'*16, '0'*18]:
test-review	dimension-or-derived	scripts/test_checkers.py	63	            self.run_case({'n': 17, 'faces': [[s]*4]}, False)
test-review	selective-small-number	scripts/test_checkers.py	64	        self.run_case({'n': 16, 'faces': []}, False)
test-review	dimension-or-derived	scripts/test_checkers.py	67	        self.run_case({'n': 17, 'faces': []}, False)
production	dimension-or-derived	scripts/check.py	17	    assert type(n) is int and n == 17, 'expected n = 17'
test-review	dimension-or-derived	Venn17/Tests.lean	12	#guard (parsePattern 17 (.str "10000000000000000")).toOption == some 1
test-review	selective-small-number	Venn17/Tests.lean	13	#guard (parsePattern 17 (.str "00000000000000001")).toOption == some (2^16)
test-review	selective-small-number	Venn17/Tests.lean	14	#guard rotate 1 == 2^16
test-review	dimension-or-derived	Venn17/Tests.lean	44	-- An actual 17-element face orbit passes; incomplete or reversed orbits fail.
test-review	dimension-or-derived	Venn17/Tests.lean	46	  (Array.range 17).map fun n => #[0, 1, 3, 2].map (steps regionStep n)
production	dimension-or-derived	Venn17/Proof.lean	14	  let mut witnesses := Array.replicate (2^17) faces.size
production	dimension-or-derived	Venn17/Proof.lean	22	def occurrenceCheck : Bool := (Array.range (2^17)).all fun v =>
production	dimension-or-derived	Venn17/Proof.lean	30	theorem every_pattern_occurs (v : Nat) (hv : v < 2^17) :
production	dimension-or-derived	Venn17/Proof.lean	74	    ∃ r, audit suppliedJSON = .ok r ∧ r.regions = 131072 := by
production	dimension-or-derived	Venn17/GraphCertificate.lean	16	  (Array.range 17).all (fun i =>
production	dimension-or-derived	Venn17/GraphCertificate.lean	20	  (Array.range 17).all (fun i => (#[false, true]).all fun side =>
production	dimension-or-derived	Venn17/Facts.lean	16	theorem each_curve_connected (i : Nat) (hi : i < 17) :
production	dimension-or-derived	Venn17/Facts.lean	25	theorem each_curve_degree_two (i f : Nat) (hi : i < 17)
production	dimension-or-derived	Venn17/Facts.lean	34	theorem each_side_connected (i : Nat) (hi : i < 17) (side : Bool) :
production	dimension-or-derived	VennCore/Rotation.lean	9	def regionStep (v : Nat) : Nat := if v < 2^17 then rotate v else v
production	dimension-or-derived	VennCore/Rotation.lean	12	  (Array.range (2^17)).all fun v => rotate v < 2^17 && steps regionStep 17 v == v
production	dimension-or-derived	VennCore/Rotation.lean	22	    g < fs.size && s < 4 && steps (fun f => table.getD f 0) 17 f == f &&
production	dimension-or-derived	VennCore/Rotation.lean	26	def trianglePole (u v : Nat) : Nat := if u == 0 || v == 0 then 0 else 131071
production	dimension-or-derived	VennCore/Checker.lean	43	  failUnless (n == 17) "expected 17 curves"
production	dimension-or-derived	VennCore/Checker.lean	95	  let mut graph : Graph := Array.replicate (2^17) #[]
production	dimension-or-derived	VennCore/Checker.lean	98	  let mut curves : Array Graph := Array.replicate 17 (Array.replicate faces.size #[])
production	dimension-or-derived	VennCore/Checker.lean	107	      for i in [:17] do
production	dimension-or-derived	VennCore/Checker.lean	126	  let mut links : Array (Std.HashMap Nat Nat) := Array.replicate (2^17) {}
production	selective-small-number	VennCore/Checker.lean	151	def rotate (v : Nat) : Nat := v / 2 + (v % 2) * 2^16
production	dimension-or-derived	VennCore/Checker.lean	155	  let mut answer := (2^17)^4
production	dimension-or-derived	VennCore/Checker.lean	158	    for j in [:4] do code := code * 2^17 + f[(k+j)%4]!
production	dimension-or-derived	VennCore/Checker.lean	169	An arbitrary order-17 automorphism alone need not have rotation number ±1/17. -/
production	dimension-or-derived	VennCore/Checker.lean	172	    m.links[pole]!.size == 17 && (Array.range 17).all fun i =>
production	dimension-or-derived	VennCore/Checker.lean	173	      m.links[pole]![pole ^^^ 2^i]? == some (pole ^^^ 2^((i+step)%17))
production	selective-small-number	VennCore/Checker.lean	174	  (atPole 0 1 && atPole (2^17-1) 16) || (atPole 0 16 && atPole (2^17-1) 1)
production	dimension-or-derived	VennCore/Checker.lean	177	  let mut seen := Array.replicate (2^17) false
production	dimension-or-derived	VennCore/Checker.lean	190	  (Array.range 17).all fun i =>
production	dimension-or-derived	VennCore/Checker.lean	213	  r.regions = 131072 ∧ r.arcs = 262140 ∧ r.crossings = 131070 ∧
production	dimension-or-derived	VennTopology/BitSigns.lean	83	theorem diagram_faceSign_cases (i : Fin 17) (f : Fin suppliedModel.oriented.size) :
production	dimension-or-derived	VennTopology/BitSigns.lean	87	  obtain ⟨a,b,hab,ha,hb⟩ := crossing_labels_alternate suppliedModel.oriented 131072 17
production	dimension-or-derived	VennTopology/BitSigns.lean	92	theorem diagram_edge_bitSign (f : Fin suppliedModel.oriented.size) (k : Fin 4) (i : Fin 17) :
production	dimension-or-derived	VennTopology/BitSigns.lean	98	    apply (edgeMask_face _ 131072 f k).symm.trans
production	dimension-or-derived	VennTopology/RigidSphere.lean	105	/-- The required positive generator, with angle exactly `2π/17`. -/
